SAMPLE	C0	C1	C2
X142598966b9c6f373bd9f077689c67d8	5284.57130281881	2705.9873705916	2242.71146315346
X680a33183fd78f2b9a08c97342f7a9b0	2822.53433670219	3368.65380433883	3858.34239819354
X185c844f7285ea8ae7eff4047bf8e2e8	1428.50943837904	4197.48105745316	4239.82242296833
X09a4c5313418bc448fa16ba847012a9d	3027.99497665367	2021.58771117805	5242.19235847794
X5f6d56c13a1a7968d5c20cf44c9ed3d9	5147.61194736665	3147.08559648787	1857.34361992693
Xeea47674d745fb638f7ed5d517b8e220	2519.52657164259	4358.29882533301	2989.57723766138
Xf8574b7124f7a3b9e886350b171a85ba	2401.5325373922	2869.94408879914	4854.14287061512
X5de3a983edc9aa39a8a090196504d7f1	1819.07183031934	4341.89217884344	3690.16343239285
X40e911a28e5b04b44b080cc04a5fd654	762.585852490124	4796.41682961999	4183.38858958624
Xe1b0f87c25889df31bc0fe76a68853b6	3778.74493179798	8.90804977116102	6878.20151801032
X4c8bc6afa4b41d21c24cbd1f6acbf449	4233.78165379796	1457.29234404995	4732.80282936126
Xcb607df67dd6bb88c5aae2ff65c485ee	3145.43932116739	1619.24604075398	5600.97696364748
X09dfa3b617b555a9df17e99b40f9db89	5077.36086703572	3055.07160694324	2033.85049893419
X272fccee2682565378fb775496b50155	6479.4168827449	259.556081386963	3956.71516132538
X9b233d12051942da673360eae83092bb	4903.66111265496	2608.31654997528	2728.03154785155
X204ddf78ad407b33588fa54b11ec93fe	1169.81483821827	6420.2937117767	1878.17054889584
X4c53ca0da8a337cc85f13c6beee2f35c	3908.67897700471	2567.36418635734	3743.94733148982
Xa52b10d9515b8daf85f93fc3df9c321a	2933.24153774215	4905.12016296166	1944.30141075271
X1282a363cb519143621bb786e756e788	2230.75615329143	3394.9528046818	4403.01699073102
X0266eeade6ca63ad927d85117f882655	2550.23169181989	4704.26244162959	2552.97640776847
X2b5f3fd2a90978b344fec39d51c54017	4675.0183066952	1391.83690578355	4380.58715809899
Xfa9dc94d5b73817daa418a97c1645c1a	1009.95259836383	5607.96411821225	2988.68378649064
Xbb15b2459d7bf3d5515151f9de1e9756	2419.40396370358	4181.56917033923	3294.73546332056
Xbd1ed66c2fd724c85f233574a890149d	6143.03416314294	1874.85644886428	2384.85438180343
X8224b875993f51494672ed5edf92ea3c	1040.1360245101	3505.3340818078	5431.30327667271
Xc4b7b0ee94a4981e06e6d598a29bff57	1624.91053816119	3513.2991350657	4853.1579389131
X554f7b5a74e90e51d22efb03b2581225	1524.8996443147	5418.8184230775	2710.19132538062
X40f0e24dd55565b8fabafb2e09eb6526	2308.08115065211	3831.28745328064	3814.82573888469
X578b112acdb7a280ee7a333abf958899	1063.62303455107	4086.6314839111	4725.05069479059
Xa05d7892b8a58c890541ef76171d8139	2680.90528387994	2782.06467499346	4685.72715189434
Xd8a98f3c034a61b3e4cd919898417385	945.262626617226	5704.79571037174	2937.76351009826
Xc188b96b05bf78247e14a26fb7231ec3	1001.73059347137	4707.50024054617	4055.32002037469
X956b58c9f3bc9154ebccad2ff4dad365	3652.64478246168	3490.93779591811	2907.17080648344
X5f162dc7790e03b002ba75d5db05e0a9	2234.77201407784	4331.4554238541	3298.10256820856
Xee16677b2ffe9e0e7d96098fa2c24767	1338.03797681098	4817.29031090817	3599.13475852957
Xa90a3aa39f672f2756323d3c2217e355	6021.0839431728	1887.71568154437	2488.35122635603
X5e3f9f5f902b6fa7420fac1e04a2559c	6773.05419662327	21.9603675368435	3950.44042720457
Xd39e67062f2c834c707b85a43e564cd4	1213.60966630483	4463.42849265712	4136.18108172468
X54dd7db38d84c7317ac97ea0525ea9f8	1362.13924634444	2342.08725306632	6485.68914947383
Xf1ffe6ffb2047ae25a3a9938406edb89	4026.72477700909	2182.70763935501	4081.35524375036
X490b3aaf0b34d71712e894ca670bff00	706.924719730986	4813.15717248231	4217.84646424779
X0ab7ff33e9730deabcef80d2cc91f9ed	1511.50433532357	4067.98778605062	4311.33742736135
Xc24c2d5c9e3fbe370b73035d1fe213ed	1712.39361942376	5228.73002266611	2751.30451456103
Xdf88f47459cd3df812fb7460a83728da	5574.9013130296	2410.40154354724	2307.83021859704
X502dfff1180e1952d964196c8493633b	5681.11995176724	1258.20685400539	3559.10549071687
X607e127bc3f0f2741a16db6f4d381a3b	3485.80842030015	3404.35566642972	3171.23537635748
X84e83abd42afb7a8f9e890db309e939a	4482.42037646892	4424.0397367053	1003.07891655664
Xcac44b421f2becc20ee74493b10ee0b7	3136.8017163023	5015.19659976603	1616.89609692882
X46c3c80adf66dc80a778498311a1fac6	1419.27265568329	5194.70613134449	3076.40924572778
Xccb12de1235ae5fbeced36bc8d13e7e7	1513.97277779549	3033.20103469632	5525.49358389589
Xc0183c37a6bb780e64db1e0c9e3fa76f	4109.61221233915	3492.71254549828	2460.61476632358
X5249c43c8376ddd9ea109e43669e06e0	2803.95029697129	5422.8160382598	1461.42240297704
X65ab81a70a3884a528b4e080a7dda7a8	2296.63553041262	3505.79206877018	4208.6301337191
X0099d88de74c5734bc0323e6c531ce9b	2869.26857309546	4490.75659221979	2493.67529213651
X4188bd9ad1e2c2f2d6a429c29ec28532	1922.66580388043	5335.18323746888	2421.63044184914
X1096a9d28ca7950724a896867e729133	4173.25584946398	4966.5564950276	665.97281469149
X298d47047ef997bfd4c253dca2cc0588	3752.51752219348	4781.42642610798	1292.85406574107
